method,sample_id,n_reference_positive_shallow_zeros,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate,n_shallow_repeats
Raw shallow RA,SRS2821908,105.8,0.00011730049693652518,0.00020817284198507965,3.7174274436966392,3.760193615875809,0.0,5
Raw shallow RA,SRS2821916,120.2,9.169361515184142e-05,0.0001792812178787216,3.6149249414389417,3.654628633075938,0.0,5
Raw shallow RA,SRS2821919,83.8,0.0001653209016682225,0.0002778814215537017,3.9317413311112226,3.962765930515716,0.0,5
Raw shallow RA,SRS2821925,65.4,0.00011366374210123726,0.00019539093599784703,3.763147201371628,3.7946677040324333,0.0,5
Raw shallow RA,SRS2821928,70.4,0.00019628159869395853,0.00030638819157028307,4.039321723036629,4.068486399156486,0.0,5
Raw shallow RA,SRS2821931,93.6,0.00017842314184706955,0.00027428261391901663,4.0274006532452615,4.052277028065683,0.0,5
Raw shallow RA,SRS2821932,91.8,0.00018248193349928977,0.00030163795559561083,3.9984603169915807,4.028451204847196,0.0,5
Raw shallow RA,SRS2821946,45.8,0.00015724796914791208,0.0002918535044306821,3.8713468370629394,3.900284925758694,0.0,5
Raw shallow RA,SRS2821968,22.6,0.0001939662626996672,0.0003091849476338565,3.9453396949063566,3.979365618721347,0.0,5
Raw shallow RA,SRS2821969,88.8,0.00017647789403889505,0.0002796386439164485,3.946572924188223,3.9830776570091104,0.0,5
Raw shallow RA,SRS2821970,96.6,0.00017749559348546754,0.00027315086697529787,3.957456978279352,3.9947999716186073,0.0,5
Raw shallow RA,SRS2821972,104.2,0.00014959449161316198,0.0002643167125495869,3.820221178256079,3.86240056855252,0.0,5
Raw shallow RA,SRS2821987,112.0,0.00011473422037351101,0.00021431959481296581,3.7110458127985524,3.7518059154739447,0.0,5
Raw shallow RA,SRS2821991,90.8,0.00016956516893271574,0.0002688758669234679,3.9272749780823246,3.964170841796796,0.0,5
Raw shallow RA,SRS2822000,86.8,0.0001671501349172736,0.00026018406185441075,3.962230895121324,3.9910546140420564,0.0,5
Raw shallow RA,SRS2822019,91.6,0.00014280891751732822,0.00021736878417496293,3.9116290621541845,3.9430122408568757,0.0,5
Raw shallow RA,SRS2822023,104.0,0.00010142363068922665,0.0001867284625785344,3.678120403470595,3.7148251420196496,0.0,5
Raw shallow RA,SRS2822025,95.2,0.00011872188270185903,0.00023386849593735355,3.7550459488108308,3.78657571542809,0.0,5
Raw shallow RA,SRS2822026,89.2,8.15493779691989e-05,0.0001697950257046399,3.5582132611737065,3.5943775167394802,0.0,5
Raw shallow RA,SRS2822053,75.8,0.00015002407228064616,0.0002635144526919757,3.8602563063200726,3.894505353054658,0.0,5
Raw shallow RA,SRS2822060,86.8,0.00015299854072959668,0.0002628536854109645,3.8704430456351475,3.905908093432197,0.0,5
Raw shallow RA,SRS2822063,90.0,0.0001408084939009991,0.0002547223147918423,3.7611030560273164,3.808091901848833,0.0,5
Raw shallow RA,SRS2822068,108.6,0.0001478242521194278,0.0002398716317458039,3.854298372942762,3.8933856411095684,0.0,5
Raw shallow RA,SRS2822077,104.0,9.499627772748413e-05,0.00018424554200963434,3.6072857051548297,3.6466206500179923,0.0,5
Raw shallow RA,SRS2822080,84.8,0.00015177318924838005,0.00024513825225394207,3.9272626518270286,3.955263493442893,0.0,5
Raw shallow RA,SRS2822089,96.4,0.0001612708746446104,0.0002542056191365995,3.9272882811235434,3.960938012854617,0.0,5
Raw shallow RA,SRS2822111,80.6,0.0001392083737638167,0.0002441809041577632,3.894786867506446,3.920690955156592,0.0,5
Raw shallow RA,SRS2822116,91.8,0.00010195986520167715,0.00018982297456340098,3.6710496309325285,3.7081144247406477,0.0,5
Raw shallow RA,SRS2822120,95.2,0.00016112082022358036,0.0002558667175393076,3.972244980015237,3.998184623923598,0.0,5
Raw shallow RA,SRS2822122,72.4,0.00020902150706683347,0.0003079208706804796,4.047973850619101,4.0834886606086505,0.0,5
Raw shallow RA,SRS2822125,97.0,0.00012103091780365694,0.00021218568240844918,3.8065439508328027,3.834999556147424,0.0,5
Raw shallow RA,SRS2822129,89.2,0.00018649410595174268,0.00031164894903711325,3.9870923100967297,4.018918385284782,0.0,5
Raw shallow RA,SRS2822133,85.8,0.00018731530163448466,0.000313584873794549,4.017451077015354,4.045287064539451,0.0,5
Raw shallow RA,SRS2822136,98.8,6.59691085336215e-05,0.0001217960473802235,3.561864950860575,3.5900058762798466,0.0,5
Raw shallow RA,SRS2822149,105.0,0.00014420544684301995,0.0002295904642193443,3.8676702991709897,3.9039318906424767,0.0,5
Raw shallow RA,SRS2822153,104.8,0.000158567640529118,0.0002525901728857068,3.9046507360802813,3.9421440310848355,0.0,5
Raw shallow RA,SRS2822168,107.2,0.00010418310561234527,0.00017673924378721072,3.72327125550636,3.7556696578208255,0.0,5
Raw shallow RA,SRS2822180,111.0,0.00010170220318516724,0.00020197307189315163,3.661563570420628,3.7004535205437024,0.0,5
Raw shallow RA,SRS2822183,105.0,0.00018268130244901643,0.00029381637535588046,4.009674468200398,4.038446718897433,0.0,5
Raw shallow RA,SRS2822185,100.2,0.00015420461934314704,0.0002712598519443776,3.886432738964922,3.923235434650232,0.0,5
Raw shallow RA,SRS2822218,91.4,0.00010274811843539509,0.00018267164646838588,3.68531334475026,3.7213059028321096,0.0,5
Raw shallow RA,SRS2822220,31.6,0.00015646906366371022,0.00029881592581462436,3.755120611879742,3.8025250756164297,0.0,5
Raw shallow RA,SRS2822230,81.0,0.00018201332546976387,0.00028937516477837457,3.999494271886983,4.026818527679015,0.0,5
Raw shallow RA,SRS2822236,94.0,0.00011380395021454406,0.00020823647556253146,3.7641402081940027,3.7941170263665533,0.0,5
Raw shallow RA,SRS2822240,78.4,8.824379233955339e-05,0.00014652425657854997,3.708356627476289,3.7331664002942055,0.0,5
Raw shallow RA,SRS2822243,37.2,0.0001795086783108818,0.00026959583554490797,3.9960543494654344,4.026789242414906,0.0,5
Raw shallow RA,SRS2822253,101.2,0.0001655808234857422,0.00030876946465158985,3.905362183644403,3.9401179702861358,0.0,5
Raw shallow RA,SRS2822256,89.4,0.00013294918884319105,0.0002298839655817451,3.864010446109634,3.8921175586733257,0.0,5
Raw shallow RA,SRS2822262,93.2,0.00011775832737170762,0.00021755835597677987,3.818748708863847,3.8444336201875644,0.0,5
Raw shallow RA,SRS2822268,89.8,0.00012381217546910761,0.00022273844909516171,3.7101626066620006,3.756237585280428,0.0,5
Raw shallow RA,SRS2822269,94.6,0.00012762610669063372,0.0002246084372811159,3.762189107148052,3.8020572253003664,0.0,5
Raw shallow RA,SRS2822275,51.6,0.0002086076481100033,0.00036276103393927545,3.8820374149985057,3.9362734198667964,0.0,5
Raw shallow RA,SRS2822279,108.0,0.00016516455386729614,0.00025557782565381316,3.9480166189651285,3.9819336280293234,0.0,5
Raw shallow RA,SRS2822280,79.4,0.0002075985991762651,0.0002993041623414225,4.092283726593257,4.120018693828375,0.0,5
Raw shallow RA,SRS2822298,64.8,0.0001606845378144508,0.00028900059254494267,3.931406434169022,3.9600644340857327,0.0,5
Training-mean RA,SRS2821816,104.6,0.0009693049611307177,0.0034812195041049863,0.8910542867692236,1.0887599725434483,1.0,5
