model,subgroup_variable,subgroup,number_of_rows,importance_rank,feature,mean_abs_SHAP,importance_percent,mean_signed_SHAP
XGBoost,abundance_group,Very rare (<1e-4),68,10,is_other,2.399422300293415e-05,0.0011165257113598746,-2.399422300293415e-05
XGBoost,abundance_group,Reference zero,98,1,log1p_shallow_count,0.9707149802422037,42.907856193744706,-0.9707149802422037
XGBoost,abundance_group,Reference zero,98,2,otu_prevalence_train,0.5880416605802139,25.99280687088099,-0.304764686755798
XGBoost,abundance_group,Reference zero,98,3,shallow_richness,0.2708412697800074,11.971813036358164,-0.06879219394984978
XGBoost,abundance_group,Reference zero,98,4,log10_shallow_ra,0.18993287883242782,8.395474281619036,-0.18993287883242782
XGBoost,abundance_group,Reference zero,98,5,otu_mean_ra_train,0.0865213330407456,3.824443828895182,-0.05164607638512187
XGBoost,abundance_group,Reference zero,98,6,otu_std_ra_train,0.07188079953763862,3.1772982517307353,-0.04387496570980518
XGBoost,abundance_group,Reference zero,98,7,otu_max_ra_train,0.05937807580185294,2.624648830423405,-0.03746076813324031
XGBoost,abundance_group,Reference zero,98,8,shallow_rank_norm,0.022571730807575643,0.9977229148083413,0.022571730807575643
XGBoost,abundance_group,Reference zero,98,9,zero_in_shallow,0.0024205755887253743,0.1069950617648887,-0.0023900732247762345
XGBoost,abundance_group,Reference zero,98,10,is_other,2.1282360983011075e-05,0.000940729774557053,-2.1282360983011075e-05
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,1,log1p_shallow_count,0.938991870198931,46.39576958500176,0.06991161760829744
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,2,otu_prevalence_train,0.4178328055450471,20.645199587314718,0.3676525753773084
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,3,shallow_richness,0.2429571977949568,12.004562047512119,0.1409886035225576
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,4,log10_shallow_ra,0.17980983888819105,8.884438852921495,0.011602202164275306
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,5,otu_mean_ra_train,0.09429584066605284,4.659175691733488,0.03562658076130208
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,6,otu_std_ra_train,0.06652919272337818,3.287220256354402,0.01337742930211659
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,7,otu_max_ra_train,0.057328842212709355,2.8326291614348986,0.01796234717108919
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,8,shallow_rank_norm,0.023950723830022894,1.183409888284055,0.00921051888144575
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,9,zero_in_shallow,0.002106950153358325,0.1041048138378315,0.00015945373161230236
XGBoost,abundance_group,Rare (1e-4 to 1e-3),84,10,is_other,7.063553872891741e-05,0.003490115605244833,-7.063553872891741e-05
XGBoost,abundance_group,Dominant (>=1e-2),17,1,log1p_shallow_count,2.4623462452608,63.32145835745614,2.4623462452608
XGBoost,abundance_group,Dominant (>=1e-2),17,2,otu_prevalence_train,0.7046471956898185,18.12063926608552,0.6518178950337803
XGBoost,abundance_group,Dominant (>=1e-2),17,3,log10_shallow_ra,0.4877687780296101,12.543414812402997,0.4877687780296101
