sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2822077,3,192431,2000,0,0.0,1.0,0.0005346564297782245,-3.2719170831892845,0.0,2.6962238656400107e-05,1.2562897600409946e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,61.0,0.00016615065,0.6978852,0.00025861867,0.0016578492,-0.15361746535645662,-0.18120715466441495,-0.12297194064859615,-0.4866238431069142,0.06239114471723261,0.28607427015331977,0.8528426271023687,0.10133883214590192,0.03874067238688504,-8.938450887043395e-06,-4.971818744832586,0.3969582042784389,-4.5748605405541465,Random Forest
SRS2821816,1,78621,2000,0,0.0,1.0,4.6938807441365604e-05,-4.328375434882687,0.0,1.3557158610074812e-06,1.256493423878734e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,89.0,0.00013518828,0.5679758,0.00035417997,0.0035969252,-0.16980033539435038,-0.20072821743519662,-0.14616455494190245,-0.5653369875613579,0.1003329939076883,0.04218855387404066,-0.03591199138716645,0.07337097049407262,-0.005298773311162259,-9.360923811128744e-06,-4.971818744832586,-0.9073577026791454,-5.879176447511731,Random Forest
SRS2821894,4,117212,2000,0,0.0,1.0,9.460936842990497e-05,-4.024019955128319,0.0,3.977455575187736e-05,4.346680574036315e-05,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,63.0,0.00020029076,0.9305136,0.0001987851,0.0013378164,-0.13873824639136279,-0.16340942104843706,-0.10423332624162174,-0.41130860488984466,-0.13812359031716953,-0.005894410340877011,1.49042237565105,0.04165803746719662,-0.0038599207956579017,-9.329261013333773e-06,-4.971818744832586,0.5665035638322626,-4.405315181000323,Random Forest
SRS2822053,3,39261,2000,1,0.0005,0.0,0.0009368412834725584,-3.028329343896899,0.0005,0.0006976429277259601,0.0004899997325081615,0.0,Rare (1e-4 to 1e-3),Detected in shallow,0.6931472,-3.3010213,0.86567163,66.0,0.00059366494,0.81570995,0.00085873617,0.004203242,-0.030597009663387895,-0.01973928400567637,0.2758834042441037,1.0604504922148907,-0.11213768784854151,0.19940542870178737,0.3153018879897436,0.06678170305172985,0.048308553761940466,-5.663115566758464e-05,-4.971818744832586,1.8036008572909223,-3.1682178875416636,Random Forest
SRS2822122,1,210905,2000,0,0.0,1.0,1.2681986506366353e-05,-4.896470398296629,0.0,1.5881984055775023e-06,1.4695796136733731e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,91.0,0.00011278986,0.6163142,0.00036509807,0.0045757582,-0.16587097367317044,-0.19652634697394575,-0.13762775963287557,-0.540090880946418,0.10064829713297295,-0.06478818360405719,0.14521786622308006,0.018547317731849165,0.009184639287111345,-9.382809363373142e-06,-4.971818744832586,-0.8313154072648167,-5.803134152097402,Random Forest
SRS2822218,3,260520,2000,8,0.004,0.0,0.0037698390568710344,-2.4236760384096834,0.004,0.004209064063906758,0.004566409585232436,0.0,Common (1e-3 to 1e-2),Detected in shallow,2.1972246,-2.397939,0.36666667,59.0,0.00070851785,0.52567977,0.001622775,0.0094716055,0.30400956994405265,0.3978246918350062,0.35589925719854504,1.3679124548002568,-0.04053489253589234,0.10208370868956222,-0.02273467625985278,0.05774349272776868,0.06521202565200769,1.4673687983650528e-05,-4.971818744832586,2.587430305739438,-2.3843884390931476,Random Forest
SRS2822279,2,139050,2000,0,0.0,1.0,0.0,-8.0,0.0,2.871311131656462e-08,4.872390171966643e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,105.0,0.000108924454,0.1691843,0.0010676667,0.013813187,-0.19415061249800591,-0.2322444577534356,-0.1751245297588442,-0.6789049865831057,0.21036134281926624,-0.06981568037158477,-1.248288998359322,-0.04780854583884113,-0.01395015083043096,-9.218308390601047e-06,-4.971818744832586,-2.4499358374826947,-7.42175458231528,Random Forest
SRS2822269,4,79943,2000,2,0.001,0.0,0.0005763391282655634,-3.2393143593787985,0.001,0.000665038473840724,0.0007774887425759144,0.0,Rare (1e-4 to 1e-3),Detected in shallow,1.0986123,-2.9999957,0.59210527,75.0,0.001270166,0.20845921,0.0076001454,0.09180757,0.1650922000945389,0.1970096279629583,0.38687780147648543,1.504311812939531,-0.057077523178543504,0.0611159267311003,-0.4327594177479709,-0.016105951433644503,-0.021514957846405926,-0.00010479123911079397,-4.971818744832586,1.7868447277589383,-3.1849740170736474,Random Forest
SRS2822026,4,260520,2000,5,0.0025,0.0,0.0012163236378611858,-2.9149472826226908,0.0025,0.002701791103732051,0.0024094502749959236,0.0,Common (1e-3 to 1e-2),Detected in shallow,1.7917595,-2.6020582,0.46031746,62.0,0.00070851785,0.52567977,0.001622775,0.0094716055,0.2773246267782083,0.3002512025522995,0.33270675063537225,1.2888940051991422,-0.004322977373843718,0.11196573044000804,-0.03842372470421838,0.06300041732456779,0.06490375654609921,-1.7767308651016574e-05,-4.971818744832586,2.396282020088984,-2.5755367247436016,Random Forest
SRS2822180,3,207119,2000,0,0.0,1.0,0.00029017573768113313,-3.5373239364833826,0.0,2.8990693661594356e-05,1.529913556965624e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,67.0,0.0020778195,0.8912387,0.0024632458,0.01316057,-0.15073634041936224,-0.17651322838166278,-0.12251564003386631,-0.4643958860413316,-0.20532397814569797,0.12739465753368212,1.3178122255616322,0.05738445650086181,0.03942454164487663,-1.6690910461724304e-05,-4.971818744832586,0.42251411730867017,-4.549304627523916,Random Forest
SRS2821816,4,101509,2000,0,0.0,1.0,0.0,-8.0,0.0,2.414835299582122e-09,2.105053139145679e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,84.0,0.00035061495,0.29305136,0.0015501347,0.015001633,-0.20028158558217976,-0.23947857412212034,-0.19147441778435925,-0.7411891557829289,-0.24126064110324746,-0.13087300949781458,-1.0843383405700087,-0.08341253548017895,-0.02426068408762584,-1.0585222741411855e-05,-4.971818744832586,-2.9365795292332053,-7.9083982740657905,Random Forest
SRS2821835,5,66728,2000,0,0.0,1.0,0.0,-8.0,0.0,1.0445161946795961e-07,1.1607036225016412e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,52.0,0.00038362664,0.6978852,0.00076735264,0.0055927797,-0.1821490943704551,-0.21411840066366514,-0.15718327225319137,-0.612314384815377,-0.8738791390390472,-0.10123103184775482,0.19921139841321042,0.009472555996863148,-0.04970821068699017,-1.157416462135382e-05,-4.971818744832586,-1.9819111534310287,-6.953729898263615,Random Forest
