sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other,pred_raw_shallow_ra,pred_training_mean_ra,pred_random_forest_ra,pred_xgboost_ra,log1p_shallow_count,abundance_group,shallow_detection_group
SRS2822149,test,5,99800,2000,0,0.0,-8.0,1,94,1.0,93,0.000178945661611,0.4259818731117825,0.0008085371580639,0.0080197521832563,5.444073037683874e-05,-4.263996290444416,0,0.0,0.00017894566161100203,2.0203737073699454e-07,1.990461732580894e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822089,test,2,97979,2000,0,0.0,-8.0,1,118,1.0,117,0.0001398356969865,0.4410876132930513,0.0006051541152007,0.0063766505803793,4.712268863212258e-05,-4.326677785685088,0,0.0,0.00013983569698650157,1.978923667485808e-05,1.6208749754399375e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2822243,test,5,4843,2000,0,0.0,-8.0,1,81,1.0,80,0.0002651975933892,0.7945619335347432,0.0009480217597742,0.0078377795354857,1.709927841045108e-05,-4.76676830658793,0,0.0,0.00026519759338920296,9.005648852671968e-06,7.278285171089341e-06,0.0,Very rare (<1e-4),Shallow zero
SRS2822053,test,5,77276,2000,0,0.0,-8.0,1,60,1.0,59,0.0002371714081184,0.1450151057401812,0.0017030517257961,0.0159834014513303,0.0,-8.0,0,0.0,0.00023717140811840268,0.0,8.390140036669074e-10,0.0,Reference zero,Shallow zero
SRS2822133,test,2,233976,2000,0,0.0,-8.0,1,102,1.0,101,0.0008927084313389,0.6465256797583081,0.0014619017075088,0.0086763798466207,0.0,-8.0,0,0.0,0.0008927084313389101,1.9052713544177131e-07,7.999466978239143e-07,0.0,Reference zero,Shallow zero
SRS2822243,test,2,192138,2000,0,0.0,-8.0,1,74,1.0,73,9.820938868897828e-05,0.2145015105740181,0.0008801074141266,0.0145934271204249,0.0,-8.0,0,0.0,9.82093886889794e-05,4.663792065168031e-08,3.515015682934122e-08,0.0,Reference zero,Shallow zero
SRS2822149,test,5,149687,2000,0,0.0,-8.0,1,94,1.0,93,0.0002005772458831,0.2990936555891239,0.0010210793411067,0.0119213770644335,0.0,-8.0,0,0.0,0.00020057724588310228,4.867489708356212e-08,7.043469453429058e-08,0.0,Reference zero,Shallow zero
SRS2821881,test,3,250171,2000,0,0.0,-8.0,1,51,1.0,50,0.0027770875829705,0.9274924471299094,0.0083625122879893,0.0924635205744878,8.474289007152299e-05,-4.071845483440935,0,0.0,0.002777087582970532,3.244377813643272e-05,1.8059232267371692e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2821919,test,4,187492,2000,0,0.0,-8.0,1,86,1.0,85,0.000122105156686,0.6012084592145015,0.0004162651301673,0.0043488001265105,1.7313019390581722e-05,-4.7613764084859955,0,0.0,0.00012210515668600137,1.3425082999947007e-07,4.162829518882483e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2821968,test,1,112852,2000,0,0.0,-8.0,1,64,1.0,63,0.0003343208348485,0.6646525679758308,0.0008769432490963,0.0129876667505663,0.0,-8.0,0,0.0,0.0003343208348485038,1.0809935313369804e-07,1.365250070841213e-07,0.0,Reference zero,Shallow zero
SRS2822111,test,4,121481,2000,0,0.0,-8.0,1,63,1.0,62,0.0008315500769304,0.3323262839879154,0.002063896486357,0.0119995955192521,6.677707142475561e-05,-4.175307599684739,0,0.0,0.0008315500769304094,1.9922514767670652e-07,6.720019215389341e-08,0.0,Very rare (<1e-4),Shallow zero
SRS2822122,test,5,27862,2000,1,0.0005,-3.3010213098612007,0,89,0.967391304347826,91,0.0001436421886614,0.6586102719033232,0.00025194628811,0.0024388528011631,0.00012681986506366354,-3.896778469599725,0,0.0005,0.00014364218866140164,0.0002507304124392462,0.0002358836983529794,0.6931471805599453,Rare (1e-4 to 1e-3),Detected in shallow
SRS2821890,test,4,207119,2000,9,0.0045,-2.34678652112688,0,27,0.23893805309734514,112,0.0020778196068682,0.8912386706948641,0.0024632456707371,0.0131605700449159,0.002826494595190823,-2.5487503041488844,0,0.0045,0.0020778196068682235,0.0045788733383387275,0.004541887405539923,2.302585092994046,Common (1e-3 to 1e-2),Detected in shallow
SRS2822025,test,2,242803,2000,0,0.0,-8.0,1,71,1.0,70,0.0005601872626808,0.6737160120845922,0.001398595788985,0.0118232283180736,3.634337218036004e-05,-4.43945529728376,0,0.0,0.0005601872626808064,2.727328239973514e-07,2.8619100464395366e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822053,test,5,9456,2000,0,0.0,-8.0,1,60,1.0,59,0.0001179264307797,0.6918429003021148,0.000235178802523,0.0014995104903771,0.0,-8.0,0,0.0,0.00011792643077970135,1.1499996702672119e-07,3.044306548407458e-07,0.0,Reference zero,Shallow zero
SRS2822279,test,2,88503,2000,0,0.0,-8.0,1,101,1.0,100,0.0004440084717553,0.7764350453172205,0.0010493723293255,0.0090218645706621,4.661743865145073e-05,-4.331358440648732,0,0.0,0.00044400847175530504,4.981795732771714e-06,4.179834124316946e-06,0.0,Very rare (<1e-4),Shallow zero
SRS2821816,test,4,230879,2000,1,0.0005,-3.3010213098612007,0,63,0.7241379310344828,86,0.0015856184968883,0.8126888217522659,0.0057585548024901,0.0600264512041966,0.0005006806127078998,-3.3004305509765186,0,0.0005,0.001585618496888318,0.0004941674545470155,0.0004154958929065155,0.6931471805599453,Rare (1e-4 to 1e-3),Detected in shallow
SRS2821824,test,1,242803,2000,0,0.0,-8.0,1,126,1.0,125,0.0005601872626808,0.6737160120845922,0.001398595788985,0.0118232283180736,0.0005829504149235306,-3.2343609343729716,0,0.0,0.0005601872626808064,7.845417248499003e-05,4.582027355428759e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2821970,test,2,181023,2000,0,0.0,-8.0,1,111,1.0,110,0.0005816964093084,0.6404833836858006,0.0010030159376034,0.0040213440569174,0.0,-8.0,0,0.0,0.0005816964093084066,2.3148479447424965e-07,3.3008605256047867e-07,0.0,Reference zero,Shallow zero
