sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,log1p_shallow_count,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other
SRS2821814,train,1,221734,2000,5,0.0025,-2.6020582541535093,1.791759469228055,0,43,0.38738738738738737,110,0.0030966779944453,0.918429003021148,0.0027621652547779,0.0110080600640388,0.002413173086022523,-2.617409727310891,0
SRS2821814,train,1,241177,2000,4,0.002,-2.698967832869038,1.6094379124341003,0,47,0.42342342342342343,110,0.0029685269290342,0.9335347432024168,0.0031146028855435,0.0179944418712366,0.0032175641146966975,-2.4924714406215274,0
SRS2821814,train,1,179894,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0028559606616153,0.945619335347432,0.0054562823596549,0.0416314345372655,0.0017034162960158986,-2.7686766527776823,0
SRS2821814,train,1,250171,2000,22,0.011,-1.958606920028789,3.1354942159291497,0,21,0.1891891891891892,110,0.0027770875829705,0.9274924471299094,0.0083625122879893,0.0924635205744878,0.00872212233052585,-2.059377328579676,0
SRS2821814,train,1,39556,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,50,0.45045045045045046,110,0.002650490784274,0.9697885196374624,0.0033855517402475,0.0258565717929554,0.0014983754455695404,-2.824376454092199,0
SRS2821814,train,1,23619,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0025486935604901,0.8972809667673716,0.0049754811867641,0.0248112189859762,0.0,-8.0,0
SRS2821814,train,1,87310,2000,8,0.004,-2.39793892293719,2.1972245773362196,0,34,0.3063063063063063,110,0.0025290292004633,0.9909365558912386,0.0034345239529555,0.03014327231938,0.003895776158480805,-2.4094048897658515,0
SRS2821814,train,1,17099,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,70,0.6306306306306306,110,0.0024535226767881,0.8489425981873112,0.0028705145560883,0.0178529785194206,0.0006151225513390745,-3.211031290545936,0
SRS2821814,train,1,168466,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,51,0.4594594594594595,110,0.0024476514126977,0.9788519637462236,0.0027280509870891,0.0268291329992788,0.0011987003564556324,-2.9212857424967815,0
SRS2821814,train,1,254706,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,52,0.46846846846846846,110,0.0023948049438828,0.43202416918429,0.0266362399101227,0.3715267876944523,0.0008201634017854327,-3.0860943189855248,0
SRS2821814,train,1,60778,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0022705146329524,0.9758308157099698,0.0052849348954228,0.0546103381154927,0.00041008170089271634,-3.38711901952736,0
SRS2821814,train,1,264947,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0022047000583922,0.8429003021148036,0.0070569372817698,0.0597454725005176,9.463423866754992e-05,-4.023905817950013,0
SRS2821814,train,1,163285,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0021622525192264,0.8096676737160121,0.0026104987996991,0.0142571503086151,0.0008201634017854327,-3.0860943189855248,0
SRS2821814,train,1,114712,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0020879398715809,0.7250755287009063,0.0056613047295506,0.056530976044541,6.308949244503328e-05,-4.19997413408721,0
SRS2821814,train,1,207119,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,53,0.4774774774774775,110,0.0020778196068682,0.8912386706948641,0.0024632456707371,0.0131605700449159,0.0013091069682344405,-2.883021547957033,0
SRS2821814,train,1,213034,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0020592681260378,0.7915407854984894,0.0214086082237064,0.2754897036664992,0.00022081322355761647,-3.655955254617889,0
SRS2821814,train,1,57440,2000,5,0.0025,-2.6020582541535093,1.791759469228055,0,44,0.3963963963963964,110,0.0019832102085078,0.9848942598187312,0.0109299056296734,0.1942510747756012,0.0013564240875682154,-2.867601304814947,0
SRS2821814,train,1,124698,2000,7,0.0035,-2.45593071481012,2.0794415416798357,0,35,0.3153153153153153,110,0.0018821350136201,0.9667673716012084,0.0028303302472964,0.0211460268919317,0.0025866691902463644,-2.5872574307907046,0
SRS2821814,train,1,131147,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0017128238555888,0.797583081570997,0.0018259291368465,0.0090787165996079,0.00026813034289139144,-3.5716378395903523,0
SRS2821814,train,1,116634,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0017111933344,0.8731117824773413,0.0051281168015429,0.042106080156782,0.0,-8.0,0
SRS2821814,train,1,253302,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0016121387648236,0.6586102719033232,0.0060298565980384,0.0433278732844579,0.0,-8.0,0
SRS2821814,train,1,230879,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0015856184968883,0.8126888217522659,0.0057585548024901,0.0600264512041966,0.00017349610422384153,-3.760685241425866,0
SRS2821814,train,1,228316,2000,23,0.0115,-1.939301781999177,3.1780538303479458,0,20,0.18018018018018017,110,0.0015487785003433,0.9879154078549848,0.0037244233712917,0.0598274912828041,0.011371881013217249,-1.9441673111857076,0
SRS2821814,train,1,127344,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,54,0.4864864864864865,110,0.0013332141572657,0.8217522658610272,0.0021088551872494,0.0114350630423246,0.0006151225513390745,-3.211031290545936,0
SRS2821814,train,1,79943,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0012701659821695,0.2084592145015106,0.0076001453449412,0.091807566341469,0.0,-8.0,0
SRS2821814,train,1,101210,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0012219404712254,0.7129909365558912,0.0036301155871149,0.028093611380207,0.0,-8.0,0
SRS2821814,train,1,131089,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,80,0.7207207207207207,110,0.0010987140912014,0.6616314199395771,0.0038573799166315,0.0328956284191981,0.00020504085044635817,-3.688138425140727,0
SRS2821814,train,1,174245,2000,25,0.0125,-1.9030896395564971,3.258096538021482,0,19,0.17117117117117117,110,0.0010836829028233,0.7794561933534743,0.0033128715542988,0.0359785522788203,0.011513832371218573,-1.9387797204930581,0
SRS2821814,train,1,57104,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0009905923670257,0.7945619335347432,0.0049250981992909,0.0449317104896404,9.463423866754992e-05,-4.023905817950013,0
SRS2821814,train,1,116906,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,81,0.7297297297297297,110,0.0009567127942599,0.7190332326283988,0.0012683614532086,0.0068052143592994,0.00020504085044635817,-3.688138425140727,0
SRS2821814,train,1,148378,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0009293110458781,0.7129909365558912,0.003108065224489,0.0404868893580928,0.0,-8.0,0
