sample_id,project_id,classification,run_count,first_run_id,calculated_total_reads,recorded_total_reads,all_runs_match_recorded,read_difference,minimum_reference_depth,eligible_reference_sample
SRS2822215,MGYS00002437,seawater,1,SRR6457479,80693.0,80693.0,True,0.0,10000,True
SRS2821955,MGYS00002437,seawater,1,SRR6457266,80683.0,80683.0,True,0.0,10000,True
SRS2821872,MGYS00002437,seawater,1,SRR6457352,80598.0,80598.0,True,0.0,10000,True
SRS2821996,MGYS00002437,seawater,1,SRR6457223,80569.0,80569.0,True,0.0,10000,True
SRS2822104,MGYS00002437,seawater,1,SRR6457218,80261.0,80261.0,True,0.0,10000,True
SRS2822214,MGYS00002437,seawater,1,SRR6457482,79907.0,79907.0,True,0.0,10000,True
SRS2822088,MGYS00002437,seawater,1,SRR6457132,79864.0,79864.0,True,0.0,10000,True
SRS2822267,MGYS00002437,seawater,1,SRR6457428,79689.0,79689.0,True,0.0,10000,True
SRS2822093,MGYS00002437,seawater,1,SRR6457127,79632.0,79632.0,True,0.0,10000,True
SRS2822210,MGYS00002437,seawater,1,SRR6457485,79426.0,79426.0,True,0.0,10000,True
SRS2822169,MGYS00002437,seawater,1,SRR6457526,79411.0,79411.0,True,0.0,10000,True
SRS2821979,MGYS00002437,seawater,1,SRR6457241,79403.0,79403.0,True,0.0,10000,True
SRS2822145,MGYS00002437,seawater,1,SRR6457076,79357.0,79357.0,True,0.0,10000,True
SRS2821941,MGYS00002437,seawater,1,SRR6457321,79165.0,79165.0,True,0.0,10000,True
SRS2822217,MGYS00002437,seawater,1,SRR6457478,79158.0,79158.0,True,0.0,10000,True
SRS2822141,MGYS00002437,seawater,1,SRR6457079,79032.0,79032.0,True,0.0,10000,True
SRS2821833,MGYS00002437,seawater,1,SRR6457390,78971.0,78971.0,True,0.0,10000,True
SRS2822236,MGYS00002437,seawater,1,SRR6457459,78922.0,78922.0,True,0.0,10000,True
SRS2821914,MGYS00002437,seawater,1,SRR6457307,78912.0,78912.0,True,0.0,10000,True
SRS2821823,MGYS00002437,seawater,1,SRR6457399,78911.0,78911.0,True,0.0,10000,True
SRS2822122,MGYS00002437,seawater,1,SRR6457099,78852.0,78852.0,True,0.0,10000,True
SRS2822198,MGYS00002437,seawater,1,SRR6457497,78687.0,78687.0,True,0.0,10000,True
SRS2821880,MGYS00002437,seawater,1,SRR6457344,78522.0,78522.0,True,0.0,10000,True
SRS2821925,MGYS00002437,seawater,1,SRR6457295,78452.0,78452.0,True,0.0,10000,True
