selection_rank,otu_id,detected_train_samples,otu_prevalence_train,otu_mean_ra_train,otu_std_ra_train,otu_max_ra_train,cumulative_mean_ra,selected_for_model
219,254096,259,0.7824773413897281,0.00011319857108462274,0.00015489295140704213,0.0012609024583249999,0.9866667764457016,True
220,210905,204,0.6163141993957704,0.0001127898579517209,0.00036509807350824615,0.004575758321237915,0.9867795663036533,True
221,29321,203,0.6132930513595166,0.00011174009214327269,0.0003158104378110187,0.00263502039700974,0.9868913063957966,True
222,134697,212,0.6404833836858006,0.00010914268574577166,0.00016582136189324616,0.0012700182758727504,0.9870004490815424,True
223,246206,135,0.4078549848942598,0.00010897582559466513,0.0003131337088583261,0.002711829185931737,0.987109424907137,True
224,139050,56,0.1691842900302115,0.00010892445351171392,0.0010676667336890484,0.013813187155448967,0.9872183493606488,True
225,258891,128,0.3867069486404834,0.00010790843425503585,0.0002697226814888089,0.0033856750919385907,0.9873262577949038,True
226,192010,85,0.256797583081571,0.00010648253004555729,0.0005788911368133891,0.0075629471336987825,0.9874327403249493,True
227,191749,271,0.8187311178247734,0.00010629742456157748,0.00020665506371793585,0.0019332343701453378,0.9875390377495109,True
228,165765,116,0.3504531722054381,0.00010569908834491766,0.0004035277101384755,0.00379501059072723,0.9876447368378558,True
229,5378,206,0.622356495468278,0.00010390619219977086,0.00026650734996986914,0.00206113941639648,0.9877486430300556,True
230,115945,107,0.32326283987915405,0.00010190209599133798,0.0005275610439181363,0.008448388285657586,0.987850545126047,True
231,157715,215,0.649546827794562,0.00010108080067415105,0.00019384584678378136,0.0015460217547346917,0.9879516259267211,True
232,71581,115,0.3474320241691843,9.826839780148766e-05,0.0009270886668867245,0.01599582717551943,0.9880498943245226,True
233,192138,71,0.21450151057401812,9.820938868897828e-05,0.0008801074141266811,0.01459342712042496,0.9881481037132116,True
234,132485,96,0.29003021148036257,9.724252693523532e-05,0.0008348412603537901,0.012584948401711553,0.9882453462401468,True
235,104764,159,0.48036253776435045,9.689319096269867e-05,0.00022977906984066282,0.002827833097680575,0.9883422394311095,True
236,242184,20,0.06042296072507553,9.63017598108355e-05,0.0006551812552206117,0.007508777867084056,0.9884385411909203,True
237,58395,164,0.4954682779456193,9.57806540644809e-05,0.00016032933607345283,0.0011976967370441458,0.9885343218449848,True
238,17010,211,0.6374622356495468,9.520266271709309e-05,0.00030573790823114534,0.0042091459029569775,0.9886295245077019,True
239,227167,149,0.4501510574018127,9.329050595008693e-05,0.0003371612194061274,0.004548024050567861,0.988722815013652,True
240,173600,132,0.3987915407854985,9.312937612474514e-05,0.000550163714622264,0.00966165097190242,0.9888159443897767,True
241,125856,159,0.48036253776435045,9.291528843565942e-05,0.00019109515865974486,0.0019680332542441467,0.9889088596782124,True
242,218143,150,0.45317220543806647,9.228278884876533e-05,0.0002144436267838885,0.002201430930104568,0.9890011424670612,True
243,99344,208,0.6283987915407855,9.211405798961762e-05,0.00010540856516967653,0.000696605732391043,0.9890932565250508,True
244,85004,106,0.3202416918429003,9.131132852482518e-05,0.0003042877678292314,0.003572050879944241,0.9891845678535756,True
245,175420,149,0.4501510574018127,8.94796937280873e-05,0.0002822743043350349,0.0032393120747838955,0.9892740475473036,True
246,97600,109,0.3293051359516616,8.888311433962733e-05,0.00070713806540445,0.011762582353118138,0.9893629306616433,True
247,80933,177,0.5347432024169184,8.703333793014278e-05,0.000160031461588715,0.0009555506968231989,0.9894499639995734,True
248,162670,83,0.25075528700906347,8.661240651011095e-05,0.0004224098442853449,0.005257338368138861,0.9895365764060835,True
249,153652,95,0.28700906344410876,8.583950427188783e-05,0.0003377653800809702,0.003555122444191796,0.9896224159103554,True
