metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
Shannon_absolute_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.08301215778747137,0.11494770024708595,-0.03193554245961458,-0.04832218934802374,-0.017061574291863592,-0.01739128796582455,-0.02762711933843932,-0.008918467570511804,-38.47092198395361,-0.5015220700152208,655.0,0.00021721417952022502,0.00021721417952022502,<0.001,***
Simpson_absolute_error,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.003327844930867231,0.0528806129629591,-0.04955276803209187,-0.06088607080309911,-0.03949074329016005,-0.036212034289858405,-0.0437034819434104,-0.02597993688742565,-1489.034767589922,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Simpson_absolute_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.003327844930867231,0.004996703277703143,-0.0016688583468359125,-0.002057090105381975,-0.0012870087564665173,-0.0015496345697486496,-0.0018484751574922,-0.0012629654325337497,-50.14832065510368,-0.8881278538812786,147.0,5.7983270250812946e-11,1.1596654050162589e-10,<0.001,***
Simpson_absolute_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.003327844930867231,0.016706521387380293,-0.013378676456513064,-0.01843820307851048,-0.008862750302617158,-0.00462704824436475,-0.00725128582967045,-0.00298193323369245,-402.02223163765626,-0.9360730593607306,84.0,5.113734152522624e-12,1.5341202457567872e-11,<0.001,***
Simpson_absolute_error,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.0528806129629591,0.004996703277703143,0.04788390968525595,0.03762588334875179,0.0585955947917603,0.0339004857094832,0.02450143025614735,0.041986971763481595,90.55097322490731,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Simpson_absolute_error,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.0528806129629591,0.016706521387380293,0.036174091575578805,0.029413284688248047,0.04347875006835963,0.0251971478836948,0.0201535778878618,0.038302069927663995,68.40709581206522,0.9923896499238964,10.0,2.5235418306749536e-13,1.0094167322699814e-12,<0.001,***
Simpson_absolute_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.004996703277703143,0.016706521387380293,-0.011709818109677151,-0.01668232396203265,-0.007244200823326048,-0.00304454569601755,-0.00662662436123095,-0.0018323107276592,-234.3508801479173,-0.7838660578386606,284.0,7.468096293402004e-09,7.468096293402004e-09,<0.001,***
richness_1read_absolute_error,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,16.62777777777778,30.01388888888889,-13.386111111111111,-17.70013888888889,-9.063611111111115,-13.1,-20.505,-4.700000000000001,-80.50451052455728,-0.6362252663622526,478.0,2.712760718171329e-06,5.425521436342658e-06,<0.001,***
richness_1read_absolute_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,16.62777777777778,6.605555555555554,10.02222222222222,8.44986111111111,11.625069444444444,10.0,8.6,12.399999999999999,60.27397260273973,0.94558599695586,71.5,3.1089846171370115e-12,1.8653907702822068e-11,<0.001,***
richness_1read_absolute_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,16.62777777777778,7.0055555555555555,9.622222222222222,7.974930555555556,11.277847222222222,9.9,9.0,11.899999999999999,57.86835950551287,0.926056338028169,94.5,1.1887943715080106e-11,4.7551774860320424e-11,<0.001,***
richness_1read_absolute_error,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,30.01388888888889,6.605555555555554,23.408333333333335,19.133263888888887,27.73923611111111,24.299999999999997,19.8,28.0,77.99167052290606,0.9254185692541856,98.0,8.856022248725851e-12,4.4280111243629254e-11,<0.001,***
richness_1read_absolute_error,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,30.01388888888889,7.0055555555555555,23.008333333333333,18.67486111111111,27.294791666666665,24.799999999999997,19.2,27.4,76.65895418787598,0.9082952815829528,120.5,2.1181913309471138e-11,6.354573992841341e-11,<0.001,***
richness_1read_absolute_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,6.605555555555554,7.0055555555555555,-0.39999999999999997,-0.7472222222222222,-0.05555555555555553,-0.30000000000000004,-0.6999999999999993,0.0,-6.055508830950399,-0.3341614906832298,804.0,0.01579018742421884,0.01579018742421884,0.016,*
