split,method,sample_id,subsample_repeat,shallow_depth,number_of_components,composition_MAE_RA,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_RA_specific,RAD_RMSE_RA_specific,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_Spearman_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Top1_cumulative_error,Top5_cumulative_error,Top10_cumulative_error,true_Shannon_specific,predicted_Shannon_specific,Shannon_absolute_error,true_Simpson_specific,predicted_Simpson_specific,Simpson_absolute_error,true_richness_1read_specific,predicted_richness_1read_specific,richness_1read_absolute_error
train,Raw shallow RA,SRS2822064,2,2000,255,0.0006022485312412589,0.0013679763484655467,0.8343502366373061,0.07678668773326051,0.1370541803081952,0.0003270857139032412,0.0009739607618333809,1.4123793004936074,2.3399122546892976,0.8981614675691312,0.02758150968737593,0.8959694068178522,2.0176792938756316,0.0003594186059703991,0.008261678401026373,0.0015998745763620148,3.4866266460713407,3.4471937182558317,0.039432927815509,0.947826758936926,0.9472686061536676,0.0005581527832584365,90,105,15
train,Raw shallow RA,SRS2822064,3,2000,255,0.0006060732067960802,0.001486190793867821,0.8433886025122368,0.07727433386650022,0.131245360864671,0.0004008551733329473,0.0011135024559092439,1.4511942579709844,2.3738353678870006,0.8938395889306814,0.040500872791891865,0.9809785952292124,2.0176792938756316,0.005921705002440242,0.005279554735188485,0.012058108244636823,3.4866266460713407,3.440225669256165,0.04640097681517563,0.947826758936926,0.94709250446163,0.00073425447529607,90,103,13
train,Raw shallow RA,SRS2822064,4,2000,255,0.0005376082556977589,0.001332146638969561,0.8253653321263054,0.06854505260146426,0.13001996729264245,0.0002102272989048011,0.000540099122902375,1.3253134976446568,2.255490386168354,0.9084066478677127,0.013504870424263892,0.7035859189826504,2.0176792938756316,0.002163285733081069,0.0057389740619748775,0.0019319114983100683,3.4866266460713407,3.4305858012771857,0.05604084479415494,0.947826758936926,0.9470761576692758,0.0007506012676502527,90,110,20
train,Raw shallow RA,SRS2822064,5,2000,255,0.0005210808983211742,0.0012244248347012055,0.821402265345204,0.06643781453594971,0.13205163696533231,0.00033051662360458485,0.0009330171935873594,1.699662474338878,2.6081580963936903,0.8571037023827125,0.02439874367825641,1.536419425368881,2.0176792938756316,0.007043311011356232,0.004158588980076261,0.003081143474989001,3.4866266460713407,3.4119830194997065,0.07464362657163415,0.947826758936926,0.9467778798081828,0.0010488791287431853,90,89,1
train,Raw shallow RA,SRS2822257,1,2000,255,0.0005272452829428709,0.0015752699596488671,0.8281706890115116,0.06722377357521604,0.12178836472277094,0.00035376004065544554,0.0013408746445546208,1.0803419922981667,1.9767953954569006,0.8856426494320779,0.04973799597651688,1.22207377422724,1.0586130853081437,0.012378340478869487,0.01200418063076436,0.0016747305784626798,2.9424132776322085,2.967412384759509,0.02499910712730058,0.8799767482312882,0.8870255541142406,0.007048805882952314,66,95,29
train,Raw shallow RA,SRS2822257,2,2000,255,0.00042420750092074196,0.0011641677252929696,0.8303593041553913,0.0540864563673946,0.10501411013144735,0.0002466062359487173,0.0007009924114904193,1.220823183656963,2.1371189913077484,0.8607050295022425,0.03388699252182545,1.536883297473251,1.0586130853081437,0.0012998931814336423,0.0006863067878403184,0.0032119852090022327,2.9424132776322085,2.927702906153124,0.014710371479084383,0.8799767482312882,0.8795713594763852,0.0004053887549030355,66,86,20
train,Raw shallow RA,SRS2822257,3,2000,255,0.0004161436876359246,0.0010833253283261488,0.8043721969168418,0.053058320173580385,0.11745334472157101,0.0002764490685319262,0.0008264276077915954,1.2518081367243652,2.1724101077676883,0.8542896366169647,0.032287398603529874,1.6061023571228823,1.0586130853081437,0.004158196487182353,0.013442107340573828,0.011589535691815867,2.9424132776322085,2.889978720055742,0.052434557576466645,0.8799767482312882,0.8799570341111883,1.9714120099934007e-05,66,84,18
train,Raw shallow RA,SRS2822257,4,2000,255,0.0005109490403512896,0.0015567098438459613,0.8262841358941425,0.06514600264478942,0.10718793633270335,0.00033478130499966537,0.0012446013529963183,1.1717415572589152,2.0836106097316662,0.8692256049872655,0.03415158834720279,1.4274958163255833,1.0586130853081437,0.013524097190088569,0.007286683543449968,0.0009547145912962574,2.9424132776322085,2.953353449003558,0.010940171371349283,0.8799767482312882,0.8866619909834708,0.006685242752182519,66,89,23
train,Raw shallow RA,SRS2822257,5,2000,255,0.00041772990673756663,0.0011298066578125858,0.804386685426121,0.053260563109039746,0.11718580469078778,0.000251241290275768,0.0009870583508267206,1.1537484843677115,2.0657798677911035,0.8725062650759362,0.02513876371103492,1.388433765500184,1.0586130853081437,0.0087461105347717,0.018188935616813784,0.011519329739256956,2.9424132776322085,2.8878838826838433,0.05452939494836517,0.8799767482312882,0.8734065515185203,0.006570196712767928,66,90,24
train,Raw shallow RA,SRS2821933,1,2000,255,0.0006503161413378129,0.001640027739711901,0.8344879806094497,0.08291530802057115,0.13315397187911993,0.00042126660233252,0.001330771330746075,1.1479706358152924,2.1207118620736805,0.8977212773557678,0.04598686604105817,1.045054221447392,1.3531537873507702,0.011143946833313323,0.015354934039193469,0.010508518105527442,3.520940891728963,3.454650934920953,0.06628995680800998,0.9484533971333029,0.9455394577971437,0.0029139393361592436,88,101,13
