depth,method,metric,n_samples,mean,std,median,q25,q75
1000,Random Forest,composition_RMSE_RA,72,0.0019123275900667,0.0002238241855319,0.0018921762943794,0.0017522755429974,0.0020921893546134
1000,Random Forest,composition_Spearman,72,0.8166939584645887,0.0635130982026115,0.8271796162073366,0.7860508173841304,0.8655459200584055
1000,Random Forest,Bray_Curtis,72,0.0746463306231723,0.0121591536557757,0.0742431915520971,0.0683603947426804,0.0831577688922963
1000,Random Forest,Jensen_Shannon_distance,72,0.1228477152621491,0.0168233612243014,0.125971285240681,0.1162381019830474,0.1336194835814037
1000,Random Forest,RAD_MAE_log10_RA_specific,72,0.7484106316777424,0.1391736238724361,0.7302257481510122,0.6426089735487882,0.8055234182311972
1000,Random Forest,RAD_RMSE_log10_RA_specific,72,0.9531613107319004,0.1924023577573114,0.9143323557832967,0.825084228720925,0.9823090018514642
1000,Random Forest,RAD_head_MAE_log10,72,0.0389175797058335,0.0059010826779074,0.0385738009928837,0.0346408769448372,0.043695816734542
1000,Random Forest,RAD_middle_MAE_log10,72,0.4869449050620292,0.2076295946925313,0.5299693035460695,0.2956721368316753,0.6133127202222579
1000,Random Forest,RAD_tail_MAE_log10,72,1.0557374230936962,0.2292501896642017,1.0444674688216633,0.9653196167687514,1.1413940132653375
1000,Random Forest,Shannon_absolute_error,72,0.1213621405498402,0.034448091093215,0.129937995195915,0.1023941654598626,0.1436842797940368
1000,Random Forest,Simpson_absolute_error,72,0.006999454247754,0.0038131471450779,0.0059101066513343,0.004531794134598,0.0081662642461113
1000,Random Forest,true_richness_1read,72,50.30555555555556,11.138865961051804,50.5,42.0,60.25
1000,Random Forest,predicted_richness_1read,72,45.5638888888889,9.296270728215111,46.8,37.55,54.15
1000,Random Forest,richness_1read_absolute_error,72,5.047222222222222,2.886880094897625,4.2,2.95,6.4
1000,Random Forest,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
1000,Random Forest,predicted_richness_fixed,72,79.71111111111111,18.870019111894273,75.5,63.5,98.4
1000,Random Forest,richness_fixed_absolute_error,72,34.88611111111111,14.251338514408715,37.3,24.4,45.6
1000,Raw shallow RA,composition_RMSE_RA,72,0.0018500036626508,0.0001803441938425,0.0018545970498474,0.0017224376847972,0.0019423493159337
1000,Raw shallow RA,composition_Spearman,72,0.7350625100803101,0.0486348803741157,0.7376871095082576,0.7047442221489073,0.7637533339699556
1000,Raw shallow RA,Bray_Curtis,72,0.0821113731001896,0.013078905458112,0.0830572920384982,0.0705665241177098,0.0918570053042207
1000,Raw shallow RA,Jensen_Shannon_distance,72,0.1497739648891835,0.0177383821863021,0.1519571472652855,0.1359613972140857,0.1633028061250623
1000,Raw shallow RA,RAD_MAE_log10_RA_specific,72,1.6124800259762715,0.3813355640352612,1.6906433939739598,1.5173017651228506,1.8625352535394424
1000,Raw shallow RA,RAD_RMSE_log10_RA_specific,72,2.4871456383781174,0.3307039478954389,2.581821086756772,2.39128215520778,2.688455709472398
1000,Raw shallow RA,RAD_head_MAE_log10,72,0.0382771326838686,0.0051717667247689,0.0378480332936543,0.0342899981944232,0.0414364846049858
